Ref,Val,Package,PosX,PosY,Rot,Side
"C5","0.1µF","C_0603_1608Metric",-44.945000,-159.512000,180.000000,bottom
"C6","0.1µF","C_0603_1608Metric",-61.722000,-161.798000,90.000000,bottom
"C10","0.1µF","C_0603_1608Metric",-32.131000,-154.686000,180.000000,bottom
"C11","0.1µF","C_0603_1608Metric",-34.404000,-152.019000,180.000000,bottom
"D1","SMF5V0A","D_SMF",-60.378000,-152.019000,0.000000,bottom
"D3","D_Schottky","D_SMA",-30.520000,-179.197000,180.000000,bottom
"D7","D_Schottky","D_SMA",-30.480000,-165.735000,180.000000,bottom
"D9","D_Schottky","D_SMA",-30.480000,-169.545000,180.000000,bottom
"D10","D_Schottky","D_SMA",-30.520000,-173.355000,180.000000,bottom
"D13","D_Schottky","D_SMA",-30.734000,-186.055000,180.000000,bottom
"D15","D_Schottky","D_SMA",-30.705000,-191.135000,180.000000,bottom
"Q7","AO3401A","SOT-23",-28.194000,-182.626000,180.000000,bottom
"R14","10K","R_0603_1608Metric",-57.023000,-175.983400,90.000000,bottom
"R16","10K","R_0603_1608Metric",-77.724000,-172.720000,180.000000,bottom
"U2","4050","SOP-16_4.4x10.4mm_P1.27mm",-66.116200,-167.360600,-90.000000,bottom
"U3","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",-37.084000,-155.194000,0.000000,bottom
"U5","4050","SOP-16_4.4x10.4mm_P1.27mm",-51.409600,-162.687000,-90.000000,bottom
"U6","AMS1117-5.0","SOT-223-3_TabPin2",-53.594000,-154.178000,0.000000,bottom
